SELECT NAME, CASE WHEN RETIRE_DATE IS NULL THEN '在職中' ELSE '退職済み' END AS STATUS FROM EMPLOYEES;

NAME                                               STATUS
-------------------------------------------------- ------------
山田 太郎                                          在職中
佐藤 花子                                          在職中
鈴木 次郎                                          在職中
田中 美咲                                          退職済み
高橋 陽介                                          在職中
中村 真理                                          在職中
加藤 和夫                                          退職済み
小林 結衣                                          在職中
松本 翔太                                          在職中
渡辺 彩                                            在職中
石田 圭吾                                          在職中
青木 由美                                          在職中
森本 拓也                                          在職中
三浦 愛子                                          在職中
藤田 隆                                            在職中
岡田 真一                                          在職中
今井 美月                                          在職中
島田 優                                            在職中
安藤 正樹                                          在職中
原田 結花                                          在職中
竹内 翔                                            在職中
久保田 悠                                          在職中
北村 さくら                                        在職中
福田 誠                                            在職中
和田 晴香                                          在職中
西田 大輔                                          在職中
上野 彩乃                                          在職中
大西 翔平                                          在職中
栗原 美咲                                          在職中
長谷川 健                                          在職中
